Year,Terms Served Mean
1961,5.774774774774775
1963,5.763205828779599
1965,5.628884826325411
1967,5.843173431734317
1969,6.0036297640653356
1971,6.175182481751825
1973,5.863138686131387
1975,5.6442831215970966
1977,5.339382940108893
1979,5.154411764705882
1981,4.926605504587156
1983,5.0974264705882355
1985,5.517560073937154
1987,5.869485294117647
1989,6.137614678899083
1991,6.4963503649635035
1993,5.743589743589744
1995,5.56353591160221
1997,5.454044117647059
1999,5.829313543599258
2001,6.091407678244972
2003,6.278293135435993
2005,6.657407407407407
2007,6.7249544626593805
2009,6.669077757685352
2011,6.4322344322344325
2013,6.047445255474453
2015,5.951940850277264
2017,6.100900900900901
2019,5.865808823529412
2021,5.974591651542649
